source,target,score,lag,edge_type
agg_mag_tailings_valve2,agg_mag_tailings_valve1,0.09283804893493652,0,directed
agg_mag_level,agg_mag_tailings_valve1,0.7463034987449646,0,directed
agg_mag_motor_current_rc,agg_mag_tailings_valve1,0.040825679898262024,0,directed
agg_tm_cyclone_feed_flow,agg_tm_motor_current,0.6400105357170105,0,directed
agg_tm_cyclone_feed_flow,MC1_TM204_HDZC_1_WD_AI,0.09644759446382523,0,directed
agg_tm_cyclone_feed_flow,MC1_TM204_ZDJ_DZ_A_WD_AI,0.38708412647247314,0,directed
agg_tm_cyclone_feed_flow,MC1_TM206_ZDJ_DZ_B_WD_AI,0.5691536068916321,0,directed
agg_tm_cyclone_feed_flow,agg_tm_cyclone_overflow_pool_level,0.025311728939414024,0,directed
agg_tm_cyclone_feed_flow,agg_tm_overflow_pump_current,0.23504137992858887,0,directed
MC1_TM204_HDZC_1_WD_AI,agg_tm_cyclone_sand_valve_setpoint,0.043213650584220886,0,directed
MC1_TM204_HDZC_1_WD_AI,agg_tm_cyclone_sand_water_flow,0.07333202660083771,0,directed
MC1_TM204_HDZC_1_WD_AI,agg_tm_cyclone_overflow_pool_level,0.03499672934412956,0,directed
MC1_TM204_HDZC_1_WD_AI,agg_tm_overflow_pump_current,0.025909822434186935,0,directed
MC1_TM206_HDZC_2_WD_AI,agg_tm_cyclone_overflow_pool_level,0.05553874373435974,0,directed
MC1_TM204_ZDJ_DZ_A_WD_AI,MC1_TM206_ZDJ_DZ_B_WD_AI,0.09582775086164474,0,directed
MC1_TM204_ZDJ_DZ_A_WD_AI,agg_tm_reducer_oil_temp,0.07090502232313156,0,directed
MC1_TM204_ZDJ_DZ_A_WD_AI,agg_tm_reducer_outlet_temp,0.04343074560165405,0,directed
MC1_TM204_ZDJ_DZ_A_WD_AI,agg_tm_cyclone_overflow_pool_level,0.03036852367222309,0,directed
MC1_TM204_ZDJ_DZ_A_WD_AI,agg_tm_overflow_pump_current,0.06856837868690491,0,directed
MC1_TM206_ZDJ_DZ_B_WD_AI,agg_tm_cyclone_overflow_pool_level,0.04623941704630852,0,directed
agg_tm_reducer_oil_temp,MC1_TM206_HDZC_2_WD_AI,0.10277987271547318,0,directed
agg_tm_reducer_oil_temp,MC1_TM206_ZDJ_DZ_B_WD_AI,0.06047743558883667,0,directed
agg_tm_reducer_oil_temp,agg_tm_overflow_pump_current,0.049508921802043915,0,directed
agg_tm_reducer_outlet_temp,agg_tm_cyclone_sand_water_flow,0.02357967384159565,0,directed
agg_tm_reducer_outlet_temp,MC1_TM204_HDZC_1_WD_AI,0.1919981986284256,0,directed
