job_id,target,treatment_group,treatment_candidates,treatment_lag_min,treatment_role,effect_type,adjustment_candidates,forbidden_patterns,resolve_rule,standardized_effect_required,notes
td_rough_freq_lag30,y_fx_xin1,td_rough_freq,fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_{drug}_freq,30,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,TD药剂频率；不要控制pH/泡沫/气量/液位等下游中介
td_rough_freq_lag60,y_fx_xin1,td_rough_freq,fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_{drug}_freq,60,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,TD药剂频率；不要控制pH/泡沫/气量/液位等下游中介
td_rough_freq_lag120,y_fx_xin1,td_rough_freq,fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_{drug}_freq,120,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,TD药剂频率；不要控制pH/泡沫/气量/液位等下游中介
naoh_freq_lag30,y_fx_xin1,naoh_freq,fx_s1_naoh_freq;fx_s1_{drug}_freq,30,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,NaOH频率；不要控制pH，因为pH是主要中介
naoh_freq_lag60,y_fx_xin1,naoh_freq,fx_s1_naoh_freq;fx_s1_{drug}_freq,60,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,NaOH频率；不要控制pH，因为pH是主要中介
naoh_freq_lag120,y_fx_xin1,naoh_freq,fx_s1_naoh_freq;fx_s1_{drug}_freq,120,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,NaOH频率；不要控制pH，因为pH是主要中介
cao_freq_lag30,y_fx_xin1,cao_freq,fx_s1_cao_freq;fx_s1_{drug}_freq,30,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,CaO频率；不要控制pH/药剂电流
cao_freq_lag60,y_fx_xin1,cao_freq,fx_s1_cao_freq;fx_s1_{drug}_freq,60,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,CaO频率；不要控制pH/药剂电流
cao_freq_lag120,y_fx_xin1,cao_freq,fx_s1_cao_freq;fx_s1_{drug}_freq,120,operation_A_reagent_freq,total_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_ph;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos;fx_s1_*_drug_curr,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,CaO频率；不要控制pH/药剂电流
ph_lag15,y_fx_xin1,ph,fx_s1_ph;fx_s{s}_ph,15,process_state_pH,conditional_effect,agg_tm_cyclone_feed_flow;agg_tm_cyclone_feed_pressure;agg_tm_motor_current;agg_tm_cyclone_overflow_pool_level;agg_tm_cyclone_pool_level;agg_tm_cyclone_pump_freq;agg_tm_cyclone_pump_current;agg_tm_cyclone_sand_water_flow;agg_tm_cyclone_sand_valve_setpoint;agg_tm_overflow_pump_current;MC1_FET503_AI;fx_nt*_underflow_density;fx_nt*_motor_current;fx_blower*_pressure;fx_s1_td_rough_freq;fx_s1_td_clean_freq;fx_s1_naoh_freq;fx_s1_cao_freq;fx_s1_ft1701;fx_s1_ft1702,y_*;lab_*;*_label*;*_target*;*_pred*;fx_s1_*_froth_h;fx_s1_*_air_flow;fx_s1_*_air_sp;fx_s1_*_level;fx_s1_*_level_valve*;fx_s1_*_motor_curr;fx_s1_*_bv_pos,use_first_existing_candidate;filter_missing_adjustments;apply_forbidden_patterns;exclude_treatment_family,True,pH不是纯操作量，解释为条件效应；可控制药剂设定作为上游
